,id,biden_poll,trump_poll,name,transaction_sum,transaction_count,avg_contrib
51,Educational Services_NC,,,,329654.0,3248.0,101.49445812807882
52,Finance and Insurance_NC,,,,209381.0,1569.0,133.4486934353091
53,Health Care and Social Assistance_NC,,,,927188.0,6767.0,137.01610758090735
54,Management of Companies and Enterprises_NC,,,,2648440.0,12412.0,213.37737673219465
55,NOT EMPLOYED_NC,,,,1770851.0,21347.0,82.95549725956809
56,"Professional, Scientific, and Technical Services_NC",,,,1093209.0,7681.0,142.3263897929957
57,Public Administration_NC,,,,671027.0,5818.0,115.33636988655896
58,RETIRED_NC,,,,5292776.0,77553.0,68.24721158433587
59,Real Estate and Rental and Leasing_NC,,,,370914.0,3589.0,103.34745054332683
60,Administrative and Support and Waste Management and Remediation Services_OH,,,,466219.0,6929.0,67.28517823639775
61,Educational Services_OH,,,,346070.0,3907.0,88.57691323265934
62,Health Care and Social Assistance_OH,,,,787224.0,5821.0,135.23861879402165
63,Management of Companies and Enterprises_OH,,,,2404139.0,13481.0,178.33536087827312
64,NOT EMPLOYED_OH,,,,1396007.0,17858.0,78.17263971329376
65,"Professional, Scientific, and Technical Services_OH",,,,985591.0,8067.0,122.17565389859924
66,Public Administration_OH,,,,536920.0,4537.0,118.3425170817721
67,RETIRED_OH,,,,14070532.0,68050.0,206.76755326965466
68,Real Estate and Rental and Leasing_OH,,,,301770.0,2698.0,111.84951816160118
69,Transportation and Warehousing_OH,,,,174695.0,2222.0,78.62061206120612
70,Administrative and Support and Waste Management and Remediation Services_PA,,,,713204.0,11451.0,62.28311937822024
71,Educational Services_PA,,,,635030.0,5911.0,107.43190661478599
72,Finance and Insurance_PA,,,,309832.0,2187.0,141.66986739826245
73,Health Care and Social Assistance_PA,,,,1236055.0,9654.0,128.03552931427387
74,Management of Companies and Enterprises_PA,,,,3791257.0,18633.0,203.47002629742929
75,NOT EMPLOYED_PA,,,,2506477.0,29802.0,84.10432185759345
76,"Professional, Scientific, and Technical Services_PA",,,,2485404.0,12403.0,200.38732564702087
77,Public Administration_PA,,,,913389.0,7483.0,122.06187358011493
78,RETIRED_PA,,,,7138307.0,88665.0,80.50873512660013
79,Real Estate and Rental and Leasing_PA,,,,583894.0,3926.0,148.72491085073867
80,Administrative and Support and Waste Management and Remediation Services_TX,,,,2547029.0,20719.0,122.93204305227086
81,Educational Services_TX,,,,939409.0,10711.0,87.70506955466342
82,Finance and Insurance_TX,,,,853380.0,6064.0,140.7288918205805
83,Health Care and Social Assistance_TX,,,,3949579.0,19521.0,202.32462476307566
84,Management of Companies and Enterprises_TX,,,,16520415.0,50874.0,324.7319849038802
85,NOT EMPLOYED_TX,,,,3476453.0,38496.0,90.30686305070657
86,"Professional, Scientific, and Technical Services_TX",,,,4406135.0,29255.0,150.61134848743805
87,Public Administration_TX,,,,3905088.0,20522.0,190.2878861709385
88,RETIRED_TX,,,,20264208.0,267160.0,75.8504566551879
89,Real Estate and Rental and Leasing_TX,,,,1196987.0,12230.0,97.87301717089125
90,Administrative and Support and Waste Management and Remediation Services_WI,,,,224847.0,3384.0,66.44414893617021
91,Educational Services_WI,,,,135108.0,1356.0,99.63716814159292
92,Health Care and Social Assistance_WI,,,,347192.0,2508.0,138.43381180223287
93,Management of Companies and Enterprises_WI,,,,1252086.0,5967.0,209.8350930115636
94,Manufacturing_WI,,,,145870.0,1349.0,108.13194959229058
95,NOT EMPLOYED_WI,,,,708905.0,7674.0,92.37750847015897
96,"Professional, Scientific, and Technical Services_WI",,,,428589.0,3162.0,135.5436432637571
97,Public Administration_WI,,,,202932.0,1927.0,105.30980799169694
98,RETIRED_WI,,,,2660362.0,30925.0,86.02625707356508
99,Real Estate and Rental and Leasing_WI,,,,145390.0,1415.0,102.74911660777386
0,BIDEN ACTION FUND,,,,485500.0,6.0,80916.66666666667
1,BIDEN FOR PRESIDENT,,,,53395060.0,494457.0,107.98726684019034
2,BIDEN VICTORY FUND,,,,12295490.0,3970.0,3097.1007556675063
3,DONALD J. TRUMP FOR PRESIDENT,,,,127479124.0,1586861.0,80.33414646903542
4,"DUSTBUSTERS SWEEPING SERVICE, INC.",,,,6646715.0,40450.0,164.319283065513
5,"EXECUTIVE EAGLES ADVERTISING, LLC",,,,6646715.0,40450.0,164.319283065513
6,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES,,,,11634102.0,765.0,15207.976470588235
7,"I360, LLC",,,,6646715.0,40450.0,164.319283065513
8,"MASTER PRINT, INC.",,,,6646715.0,40450.0,164.319283065513
9,NATIONAL RIFLE ASSOCIATION OF AMERICA,,,,6646715.0,40450.0,164.319283065513
10,NRA INSTITUTE FOR LEGISLATIVE ACTION,,,,6646715.0,40450.0,164.319283065513
11,PLANNED PARENTHOOD ADVOCATES OF ARIZONA,,,,11634102.0,765.0,15207.976470588235
12,PLANNED PARENTHOOD MAINE ACTION FUND,,,,11634102.0,765.0,15207.976470588235
13,STAMPEDE AMERICA,,,,6646715.0,40450.0,164.319283065513
14,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,,,,14356069.0,69803.0,205.6655014827443
15,TRUMP VICTORY,,,,21433858.0,560.0,38274.74642857143
16,UNITED STATES POSTAL SERVICE,,,,6646715.0,40450.0,164.319283065513
17,WISCONSIN CONSERVATIVE LEADERSHIP COALITION,,,,6646715.0,40450.0,164.319283065513
