,source,target
91,Health Care and Social Assistance_TX,"I360, LLC"
92,Management of Companies and Enterprises_TX,"I360, LLC"
93,Educational Services_TX,"I360, LLC"
94,RETIRED_TX,"I360, LLC"
95,"Professional, Scientific, and Technical Services_TX","I360, LLC"
96,Public Administration_TX,"I360, LLC"
97,Real Estate and Rental and Leasing_TX,"I360, LLC"
98,Finance and Insurance_TX,"I360, LLC"
99,Administrative and Support and Waste Management and Remediation Services_TX,"I360, LLC"
100,Health Care and Social Assistance_TX,NATIONAL RIFLE ASSOCIATION OF AMERICA
101,Management of Companies and Enterprises_TX,NATIONAL RIFLE ASSOCIATION OF AMERICA
102,Educational Services_TX,NATIONAL RIFLE ASSOCIATION OF AMERICA
103,RETIRED_TX,NATIONAL RIFLE ASSOCIATION OF AMERICA
104,"Professional, Scientific, and Technical Services_TX",NATIONAL RIFLE ASSOCIATION OF AMERICA
105,Public Administration_TX,NATIONAL RIFLE ASSOCIATION OF AMERICA
106,Real Estate and Rental and Leasing_TX,NATIONAL RIFLE ASSOCIATION OF AMERICA
107,Finance and Insurance_TX,NATIONAL RIFLE ASSOCIATION OF AMERICA
108,Administrative and Support and Waste Management and Remediation Services_TX,NATIONAL RIFLE ASSOCIATION OF AMERICA
109,Health Care and Social Assistance_TX,"DUSTBUSTERS SWEEPING SERVICE, INC."
110,Management of Companies and Enterprises_TX,"DUSTBUSTERS SWEEPING SERVICE, INC."
111,Educational Services_TX,"DUSTBUSTERS SWEEPING SERVICE, INC."
112,RETIRED_TX,"DUSTBUSTERS SWEEPING SERVICE, INC."
113,"Professional, Scientific, and Technical Services_TX","DUSTBUSTERS SWEEPING SERVICE, INC."
114,Public Administration_TX,"DUSTBUSTERS SWEEPING SERVICE, INC."
115,Real Estate and Rental and Leasing_TX,"DUSTBUSTERS SWEEPING SERVICE, INC."
116,Finance and Insurance_TX,"DUSTBUSTERS SWEEPING SERVICE, INC."
117,Administrative and Support and Waste Management and Remediation Services_TX,"DUSTBUSTERS SWEEPING SERVICE, INC."
118,Health Care and Social Assistance_TX,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
119,Management of Companies and Enterprises_TX,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
120,Educational Services_TX,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
121,RETIRED_TX,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
122,"Professional, Scientific, and Technical Services_TX",WISCONSIN CONSERVATIVE LEADERSHIP COALITION
123,Public Administration_TX,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
124,Real Estate and Rental and Leasing_TX,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
125,Finance and Insurance_TX,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
126,Administrative and Support and Waste Management and Remediation Services_TX,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
127,Health Care and Social Assistance_TX,"EXECUTIVE EAGLES ADVERTISING, LLC"
128,Management of Companies and Enterprises_TX,"EXECUTIVE EAGLES ADVERTISING, LLC"
129,Educational Services_TX,"EXECUTIVE EAGLES ADVERTISING, LLC"
130,RETIRED_TX,"EXECUTIVE EAGLES ADVERTISING, LLC"
131,"Professional, Scientific, and Technical Services_TX","EXECUTIVE EAGLES ADVERTISING, LLC"
132,Public Administration_TX,"EXECUTIVE EAGLES ADVERTISING, LLC"
133,Real Estate and Rental and Leasing_TX,"EXECUTIVE EAGLES ADVERTISING, LLC"
134,Finance and Insurance_TX,"EXECUTIVE EAGLES ADVERTISING, LLC"
135,Administrative and Support and Waste Management and Remediation Services_TX,"EXECUTIVE EAGLES ADVERTISING, LLC"
136,Health Care and Social Assistance_TX,PLANNED PARENTHOOD ADVOCATES OF ARIZONA
137,Management of Companies and Enterprises_TX,PLANNED PARENTHOOD ADVOCATES OF ARIZONA
138,Educational Services_TX,PLANNED PARENTHOOD ADVOCATES OF ARIZONA
139,RETIRED_TX,PLANNED PARENTHOOD ADVOCATES OF ARIZONA
140,NOT EMPLOYED_TX,PLANNED PARENTHOOD ADVOCATES OF ARIZONA
141,Administrative and Support and Waste Management and Remediation Services_TX,PLANNED PARENTHOOD ADVOCATES OF ARIZONA
142,Health Care and Social Assistance_TX,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
143,Management of Companies and Enterprises_TX,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
144,Educational Services_TX,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
145,RETIRED_TX,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
146,NOT EMPLOYED_TX,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
147,Administrative and Support and Waste Management and Remediation Services_TX,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
148,Management of Companies and Enterprises_TX,BIDEN ACTION FUND
149,Educational Services_TX,BIDEN ACTION FUND
150,Health Care and Social Assistance_MI,BIDEN FOR PRESIDENT
151,Educational Services_MI,BIDEN FOR PRESIDENT
152,"Professional, Scientific, and Technical Services_MI",BIDEN FOR PRESIDENT
153,RETIRED_MI,BIDEN FOR PRESIDENT
154,NOT EMPLOYED_MI,BIDEN FOR PRESIDENT
155,Management of Companies and Enterprises_MI,BIDEN FOR PRESIDENT
156,Public Administration_MI,BIDEN FOR PRESIDENT
157,Administrative and Support and Waste Management and Remediation Services_MI,BIDEN FOR PRESIDENT
158,Real Estate and Rental and Leasing_MI,BIDEN FOR PRESIDENT
159,Manufacturing_MI,BIDEN FOR PRESIDENT
160,Health Care and Social Assistance_MI,BIDEN VICTORY FUND
161,Educational Services_MI,BIDEN VICTORY FUND
162,"Professional, Scientific, and Technical Services_MI",BIDEN VICTORY FUND
163,RETIRED_MI,BIDEN VICTORY FUND
164,NOT EMPLOYED_MI,BIDEN VICTORY FUND
165,Management of Companies and Enterprises_MI,BIDEN VICTORY FUND
166,Public Administration_MI,BIDEN VICTORY FUND
167,Administrative and Support and Waste Management and Remediation Services_MI,BIDEN VICTORY FUND
168,Real Estate and Rental and Leasing_MI,BIDEN VICTORY FUND
169,Health Care and Social Assistance_MI,NRA INSTITUTE FOR LEGISLATIVE ACTION
170,Educational Services_MI,NRA INSTITUTE FOR LEGISLATIVE ACTION
171,"Professional, Scientific, and Technical Services_MI",NRA INSTITUTE FOR LEGISLATIVE ACTION
172,RETIRED_MI,NRA INSTITUTE FOR LEGISLATIVE ACTION
173,Management of Companies and Enterprises_MI,NRA INSTITUTE FOR LEGISLATIVE ACTION
174,Public Administration_MI,NRA INSTITUTE FOR LEGISLATIVE ACTION
175,Real Estate and Rental and Leasing_MI,NRA INSTITUTE FOR LEGISLATIVE ACTION
176,Manufacturing_MI,NRA INSTITUTE FOR LEGISLATIVE ACTION
177,Health Care and Social Assistance_MI,"MASTER PRINT, INC."
178,Educational Services_MI,"MASTER PRINT, INC."
179,"Professional, Scientific, and Technical Services_MI","MASTER PRINT, INC."
180,RETIRED_MI,"MASTER PRINT, INC."
181,Management of Companies and Enterprises_MI,"MASTER PRINT, INC."
182,Public Administration_MI,"MASTER PRINT, INC."
183,Real Estate and Rental and Leasing_MI,"MASTER PRINT, INC."
184,Manufacturing_MI,"MASTER PRINT, INC."
185,Health Care and Social Assistance_MI,UNITED STATES POSTAL SERVICE
186,Educational Services_MI,UNITED STATES POSTAL SERVICE
187,"Professional, Scientific, and Technical Services_MI",UNITED STATES POSTAL SERVICE
188,RETIRED_MI,UNITED STATES POSTAL SERVICE
189,Management of Companies and Enterprises_MI,UNITED STATES POSTAL SERVICE
190,Public Administration_MI,UNITED STATES POSTAL SERVICE
191,Real Estate and Rental and Leasing_MI,UNITED STATES POSTAL SERVICE
192,Manufacturing_MI,UNITED STATES POSTAL SERVICE
193,Health Care and Social Assistance_MI,DONALD J. TRUMP FOR PRESIDENT
194,Educational Services_MI,DONALD J. TRUMP FOR PRESIDENT
195,"Professional, Scientific, and Technical Services_MI",DONALD J. TRUMP FOR PRESIDENT
196,RETIRED_MI,DONALD J. TRUMP FOR PRESIDENT
197,NOT EMPLOYED_MI,DONALD J. TRUMP FOR PRESIDENT
198,Management of Companies and Enterprises_MI,DONALD J. TRUMP FOR PRESIDENT
199,Public Administration_MI,DONALD J. TRUMP FOR PRESIDENT
200,Administrative and Support and Waste Management and Remediation Services_MI,DONALD J. TRUMP FOR PRESIDENT
201,Real Estate and Rental and Leasing_MI,DONALD J. TRUMP FOR PRESIDENT
202,Manufacturing_MI,DONALD J. TRUMP FOR PRESIDENT
203,Health Care and Social Assistance_MI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
204,Educational Services_MI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
205,"Professional, Scientific, and Technical Services_MI",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
206,RETIRED_MI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
207,NOT EMPLOYED_MI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
208,Management of Companies and Enterprises_MI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
209,Public Administration_MI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
210,Administrative and Support and Waste Management and Remediation Services_MI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
211,Real Estate and Rental and Leasing_MI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
212,Manufacturing_MI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
213,Health Care and Social Assistance_MI,STAMPEDE AMERICA
214,Educational Services_MI,STAMPEDE AMERICA
215,"Professional, Scientific, and Technical Services_MI",STAMPEDE AMERICA
216,RETIRED_MI,STAMPEDE AMERICA
217,Management of Companies and Enterprises_MI,STAMPEDE AMERICA
218,Public Administration_MI,STAMPEDE AMERICA
219,Real Estate and Rental and Leasing_MI,STAMPEDE AMERICA
220,Manufacturing_MI,STAMPEDE AMERICA
221,Health Care and Social Assistance_MI,"I360, LLC"
222,Educational Services_MI,"I360, LLC"
223,"Professional, Scientific, and Technical Services_MI","I360, LLC"
224,RETIRED_MI,"I360, LLC"
225,Management of Companies and Enterprises_MI,"I360, LLC"
226,Public Administration_MI,"I360, LLC"
227,Real Estate and Rental and Leasing_MI,"I360, LLC"
228,Manufacturing_MI,"I360, LLC"
229,Health Care and Social Assistance_MI,NATIONAL RIFLE ASSOCIATION OF AMERICA
230,Educational Services_MI,NATIONAL RIFLE ASSOCIATION OF AMERICA
231,"Professional, Scientific, and Technical Services_MI",NATIONAL RIFLE ASSOCIATION OF AMERICA
232,RETIRED_MI,NATIONAL RIFLE ASSOCIATION OF AMERICA
233,Management of Companies and Enterprises_MI,NATIONAL RIFLE ASSOCIATION OF AMERICA
234,Public Administration_MI,NATIONAL RIFLE ASSOCIATION OF AMERICA
235,Real Estate and Rental and Leasing_MI,NATIONAL RIFLE ASSOCIATION OF AMERICA
236,Manufacturing_MI,NATIONAL RIFLE ASSOCIATION OF AMERICA
237,Health Care and Social Assistance_MI,"DUSTBUSTERS SWEEPING SERVICE, INC."
238,Educational Services_MI,"DUSTBUSTERS SWEEPING SERVICE, INC."
239,"Professional, Scientific, and Technical Services_MI","DUSTBUSTERS SWEEPING SERVICE, INC."
240,RETIRED_MI,"DUSTBUSTERS SWEEPING SERVICE, INC."
241,Management of Companies and Enterprises_MI,"DUSTBUSTERS SWEEPING SERVICE, INC."
242,Public Administration_MI,"DUSTBUSTERS SWEEPING SERVICE, INC."
243,Real Estate and Rental and Leasing_MI,"DUSTBUSTERS SWEEPING SERVICE, INC."
244,Manufacturing_MI,"DUSTBUSTERS SWEEPING SERVICE, INC."
245,Health Care and Social Assistance_MI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
246,Educational Services_MI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
247,"Professional, Scientific, and Technical Services_MI",WISCONSIN CONSERVATIVE LEADERSHIP COALITION
248,RETIRED_MI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
249,Management of Companies and Enterprises_MI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
250,Public Administration_MI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
251,Real Estate and Rental and Leasing_MI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
252,Manufacturing_MI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
253,Health Care and Social Assistance_MI,"EXECUTIVE EAGLES ADVERTISING, LLC"
254,Educational Services_MI,"EXECUTIVE EAGLES ADVERTISING, LLC"
255,"Professional, Scientific, and Technical Services_MI","EXECUTIVE EAGLES ADVERTISING, LLC"
256,RETIRED_MI,"EXECUTIVE EAGLES ADVERTISING, LLC"
257,Management of Companies and Enterprises_MI,"EXECUTIVE EAGLES ADVERTISING, LLC"
258,Public Administration_MI,"EXECUTIVE EAGLES ADVERTISING, LLC"
259,Real Estate and Rental and Leasing_MI,"EXECUTIVE EAGLES ADVERTISING, LLC"
260,Manufacturing_MI,"EXECUTIVE EAGLES ADVERTISING, LLC"
261,Health Care and Social Assistance_NC,BIDEN FOR PRESIDENT
262,Management of Companies and Enterprises_NC,BIDEN FOR PRESIDENT
263,Educational Services_NC,BIDEN FOR PRESIDENT
264,"Professional, Scientific, and Technical Services_NC",BIDEN FOR PRESIDENT
265,RETIRED_NC,BIDEN FOR PRESIDENT
266,NOT EMPLOYED_NC,BIDEN FOR PRESIDENT
267,Public Administration_NC,BIDEN FOR PRESIDENT
268,Real Estate and Rental and Leasing_NC,BIDEN FOR PRESIDENT
269,Administrative and Support and Waste Management and Remediation Services_NC,BIDEN FOR PRESIDENT
270,Finance and Insurance_NC,BIDEN FOR PRESIDENT
271,Health Care and Social Assistance_NC,BIDEN VICTORY FUND
272,Management of Companies and Enterprises_NC,BIDEN VICTORY FUND
273,Educational Services_NC,BIDEN VICTORY FUND
274,"Professional, Scientific, and Technical Services_NC",BIDEN VICTORY FUND
275,RETIRED_NC,BIDEN VICTORY FUND
276,NOT EMPLOYED_NC,BIDEN VICTORY FUND
277,Public Administration_NC,BIDEN VICTORY FUND
278,Real Estate and Rental and Leasing_NC,BIDEN VICTORY FUND
279,Administrative and Support and Waste Management and Remediation Services_NC,BIDEN VICTORY FUND
280,Finance and Insurance_NC,BIDEN VICTORY FUND
281,Health Care and Social Assistance_NC,DONALD J. TRUMP FOR PRESIDENT
282,Management of Companies and Enterprises_NC,DONALD J. TRUMP FOR PRESIDENT
283,Educational Services_NC,DONALD J. TRUMP FOR PRESIDENT
284,"Professional, Scientific, and Technical Services_NC",DONALD J. TRUMP FOR PRESIDENT
285,RETIRED_NC,DONALD J. TRUMP FOR PRESIDENT
286,NOT EMPLOYED_NC,DONALD J. TRUMP FOR PRESIDENT
287,Public Administration_NC,DONALD J. TRUMP FOR PRESIDENT
288,Real Estate and Rental and Leasing_NC,DONALD J. TRUMP FOR PRESIDENT
289,Administrative and Support and Waste Management and Remediation Services_NC,DONALD J. TRUMP FOR PRESIDENT
290,Finance and Insurance_NC,DONALD J. TRUMP FOR PRESIDENT
291,Health Care and Social Assistance_NC,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
292,Management of Companies and Enterprises_NC,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
293,Educational Services_NC,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
294,"Professional, Scientific, and Technical Services_NC",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
295,RETIRED_NC,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
296,NOT EMPLOYED_NC,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
297,Public Administration_NC,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
298,Real Estate and Rental and Leasing_NC,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
299,Administrative and Support and Waste Management and Remediation Services_NC,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
300,Finance and Insurance_NC,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
301,Health Care and Social Assistance_NC,TRUMP VICTORY
302,Management of Companies and Enterprises_NC,TRUMP VICTORY
303,"Professional, Scientific, and Technical Services_NC",TRUMP VICTORY
304,RETIRED_NC,TRUMP VICTORY
305,Public Administration_NC,TRUMP VICTORY
306,Finance and Insurance_NC,TRUMP VICTORY
307,Management of Companies and Enterprises_NC,NRA INSTITUTE FOR LEGISLATIVE ACTION
308,"Professional, Scientific, and Technical Services_NC",NRA INSTITUTE FOR LEGISLATIVE ACTION
309,RETIRED_NC,NRA INSTITUTE FOR LEGISLATIVE ACTION
310,Public Administration_NC,NRA INSTITUTE FOR LEGISLATIVE ACTION
311,Real Estate and Rental and Leasing_NC,NRA INSTITUTE FOR LEGISLATIVE ACTION
312,Administrative and Support and Waste Management and Remediation Services_NC,NRA INSTITUTE FOR LEGISLATIVE ACTION
313,Management of Companies and Enterprises_NC,"MASTER PRINT, INC."
314,"Professional, Scientific, and Technical Services_NC","MASTER PRINT, INC."
315,RETIRED_NC,"MASTER PRINT, INC."
316,Public Administration_NC,"MASTER PRINT, INC."
317,Real Estate and Rental and Leasing_NC,"MASTER PRINT, INC."
318,Administrative and Support and Waste Management and Remediation Services_NC,"MASTER PRINT, INC."
319,Management of Companies and Enterprises_NC,UNITED STATES POSTAL SERVICE
320,"Professional, Scientific, and Technical Services_NC",UNITED STATES POSTAL SERVICE
